alamat,rata_rata_umur,total_kontak,total_dirujuk,laki-laki,perempuan,kontak_serumah,batuk,sesak_nafas,keringat_malam,demam_meriang,diabetes_mellitus,lansia,ibu_hamil,perokok,berobat_tidak_tuntas,jumlah_fasyankes_unik,latitude,longitude
"Bajeng Barat, Kabupaten Gowa",33.17171330011499,2609,271,1316,1293,413,264,149,7,0,4,279,0,48,1,1,-5.2902067,119.390549
"Bajeng, Kabupaten Gowa",32.3401413982718,3819,403,1871,1948,612,407,184,18,8,17,329,1,229,0,2,-5.2928247,119.4374637
"Biringkanaya, Kota Makassar",31.174216027874564,2870,5,1396,1474,549,46,4,1,21,4,192,4,154,1,3,-5.1134517,119.5137952
"Bontoala, Kota Makassar",34.47028613352898,2726,0,1325,1401,463,0,0,0,6,3,246,1,358,2,1,-5.130839,119.4208345
"Bontomarannu, Kabupaten Gowa",28.85409252669039,281,16,140,141,46,16,1,1,0,0,15,0,7,0,1,-5.2324906,119.5096652
"Bontonompo Selatan, Kabupaten Gowa",32.76893939393939,1584,47,740,844,242,47,9,1,4,7,163,12,207,1,1,-5.3983947,119.3890994
"Bontonompo, Kabupaten Gowa",36.05089722675367,3065,447,1514,1551,508,446,294,31,28,8,425,2,165,3,1,-5.3455219,119.4454793
"Makassar, Kota Makassar",33.51348547717842,8676,267,4315,4361,1497,271,32,96,177,12,620,0,437,2,4,-5.1615828,119.4359281
"Mamajang, Kota Makassar",36.24768392370572,3670,212,1756,1914,230,212,47,48,57,3,437,0,492,0,2,-5.1643461,119.4193834
"Manggala, Kota Makassar",32.45460967855881,5662,190,2722,2940,1110,231,26,47,56,10,386,9,166,2,5,-5.1670953,119.4791098
"Manuju, Kabupaten Gowa",33.60084033613445,238,0,119,119,21,0,0,0,0,1,27,0,88,0,1,-5.2858206,119.6126125
"Mariso, Kota Makassar",9.560975609756097,41,0,11,30,0,0,0,0,0,0,0,0,0,0,1,-5.1590928,119.4092257
"Pallangga, Kabupaten Gowa",32.785299806576404,7238,473,3582,3656,1208,472,227,61,105,203,607,24,934,4,2,-5.2635169,119.4863316
"Panakkukang, Kota Makassar",32.15370539798719,2186,61,1018,1168,405,96,52,22,31,5,165,4,318,2,4,-5.1608223,119.449434
"Parigi, Kabupaten Gowa",40.70817120622568,257,10,126,131,26,10,4,0,0,1,47,2,5,0,1,-5.3059908,119.8064051
"Rappocini, Kota Makassar",33.39806009889692,5258,66,2404,2854,511,116,21,14,16,15,461,0,726,2,3,-5.1716212,119.4457009
"Somba Opu, Kabupaten Gowa",30.841736227045075,2995,146,1492,1503,452,151,34,48,97,15,198,3,890,9,2,-5.2092149,119.455063
"Tallo, Kota Makassar",34.398230735487644,13678,371,6709,6969,1388,490,146,196,191,67,593,59,2750,13,3,-5.1250455,119.4295039
"Tamalate, Kota Makassar",33.690381404905615,7787,607,3698,4089,1055,680,140,56,107,63,773,11,935,7,6,-5.1317461,119.4982452
"Wajo, Kota Makassar",31.510204081632654,1323,2,628,695,56,14,1,0,1,5,46,2,121,0,2,-5.1255864,119.4106768
