alamat,rata_rata_umur,total_kontak,total_dirujuk,laki-laki,perempuan,kontak_serumah,batuk,sesak_nafas,keringat_malam,demam_meriang,diabetes_mellitus,lansia,ibu_hamil,perokok,berobat_tidak_tuntas,jumlah_fasyankes_unik,latitude,longitude
"Bajeng Barat, Kabupaten Gowa",35.380269058295966,1115,179,518,597,222,172,73,5,0,2,128,0,45,0,1,-5.2902067,119.390549
"Bajeng, Kabupaten Gowa",34.81427904806346,2143,295,1010,1133,437,288,162,5,1,1,233,1,92,0,2,-5.2928247,119.4374637
"Biringkanaya, Kota Makassar",31.54945054945055,1365,7,695,670,346,14,1,1,0,2,90,2,82,0,3,-5.1134517,119.5137952
"Bontoala, Kota Makassar",34.99810785241249,1057,0,529,528,239,0,0,0,0,2,115,0,149,0,2,-5.130839,119.4208345
"Bontomarannu, Kabupaten Gowa",33.04184704184704,693,81,324,369,122,81,1,0,0,0,62,0,5,0,1,-5.2324906,119.5096652
"Bontonompo Selatan, Kabupaten Gowa",34.95305676855895,916,185,448,468,201,182,32,14,10,14,111,3,98,2,1,-5.3983947,119.3890994
"Bontonompo, Kabupaten Gowa",37.62976190476191,1680,338,756,924,364,339,231,19,15,17,239,1,76,2,1,-5.3455219,119.4454793
"Makassar, Kota Makassar",32.167484839734335,3463,117,1716,1747,800,122,8,43,80,1,256,0,71,3,3,-5.1615828,119.4359281
"Mamajang, Kota Makassar",38.88818755635708,1109,166,546,563,141,171,28,29,30,1,175,0,174,0,2,-5.1643461,119.4193834
"Manggala, Kota Makassar",34.72174353775976,1973,81,914,1059,635,124,4,5,9,4,196,4,66,0,6,-5.1670953,119.4791098
"Manuju, Kabupaten Gowa",34.17948717948718,468,0,236,232,30,1,0,0,0,0,51,0,130,0,1,-5.2858206,119.6126125
"Mariso, Kota Makassar",28.735632183908045,348,0,178,170,114,17,7,3,3,2,13,0,34,1,1,-5.1590928,119.4092257
"Pallangga, Kabupaten Gowa",33.78366197183099,3550,465,1747,1803,857,458,166,78,143,134,352,6,483,0,2,-5.2635169,119.4863316
"Panakkukang, Kota Makassar",32.666,1500,50,744,756,275,62,22,18,21,4,120,0,185,0,6,-5.1608223,119.449434
"Parangloe, Kabupaten Gowa",24,18,0,10,8,4,0,0,0,0,0,0,0,3,0,1,-5.2441692,119.6509478
"Parigi, Kabupaten Gowa",38.81385281385281,231,14,105,126,39,13,1,0,0,0,37,0,0,0,1,-5.3059908,119.8064051
"Rappocini, Kota Makassar",34.06208425720621,1804,5,890,914,315,16,4,0,0,6,149,0,93,0,4,-5.1716212,119.4457009
"Somba Opu, Kabupaten Gowa",31.553026854802003,2197,138,1077,1120,559,138,6,4,16,7,159,1,490,3,2,-5.2092149,119.455063
"Tallo, Kota Makassar",34.36752500532028,4699,377,2269,2430,950,392,78,96,114,28,308,19,892,6,3,-5.1250455,119.4295039
"Tamalate, Kota Makassar",33.86380409258638,2981,323,1462,1519,614,358,55,39,70,23,312,24,512,1,6,-5.1851712,119.4236581
"Wajo, Kota Makassar",33.865652724968314,789,6,356,433,148,10,0,0,0,1,53,2,114,0,2,-5.1255864,119.4106768
